County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Alameda,California,15,8.7,43.9,11.3,28.2,22.6,0.6,8.8,1647704,9.1
Alpine,California,2,8,72.4,0.8,0.8,7.8,18.9,0,1071,9.3
Amador,California,2,10,86.7,2.4,1.5,13,1.4,4.2,37383,9.3
Butte,California,5,7.7,83.1,1.5,4.3,15.4,1.1,3.6,226864,9.4
Calaveras,California,9,8.1,92.2,0.6,1,11.2,1,0.9,45171,9.3
Colusa,California,2,6.3,87.6,1,1.6,57.8,1,5.7,21588,7.3
Contra Costa,California,9,8.1,59.7,8.8,15.5,25.1,0.5,8.6,1135127,12.1
Del Norte,California,4,5.5,77.8,2.3,2.4,19.3,6.6,2.4,27540,7.2
El Dorado,California,5,7,87,1,4.2,12.5,0.8,3.4,185625,12.1
Fresno,California,26,13,61.6,5,9.9,52,1,18.3,979915,11.3
Glenn,California,2,5,84,0.7,2.4,40.2,1.8,8.3,28085,7.3
Humboldt,California,18,6,81.2,1.2,2.8,10.7,5.1,3.5,136646,12.5
Imperial,California,16,12.5,69.5,2.7,1.4,82.7,1.1,20.3,180883,12.1
Inyo,California,9,6.2,81.9,1,1.2,21.1,11.4,2,18144,9.3
Kern,California,32,15.9,74.3,5.5,4.6,51.6,1.2,10.8,884788,16.7
Kings,California,3,15.5,67,6.4,3.8,53.1,1.4,17,149785,15.8
Lake,California,3,2.9,78.8,2.2,1.4,18.9,3.5,11.1,64116,17.3
Lassen,California,11,9.4,79.7,8.9,1.7,18.4,2.8,3.7,30870,7.2
Los Angeles,California,171,12,52.5,8.3,14.2,48.3,0.6,20.2,10137915,7.8
Madera,California,4,12,79,3.3,2,56.2,1.6,10.4,154697,10.3
Marin,California,3,6.5,79,2.3,5.7,15.8,0.3,7.9,260651,6.8
Mariposa,California,5,12.3,88.1,1.3,1.3,10.1,3.1,1.8,17410,9.3
Mendocino,California,12,6.6,82.8,0.6,1.8,24,4,5.4,87628,9.3
Merced,California,3,12,58.6,3.4,7.5,57.5,0.7,25.2,268672,10.3
Modoc,California,11,5.1,90.2,0.9,1.4,14.8,4.2,0.7,8795,7.2
Mono,California,9,10,84.8,0.6,1.2,27.5,2.7,7.6,13981,9.3
Monterey,California,13,6.9,69.9,2.7,5.9,57.4,0.7,16.3,435232,8.8
Napa,California,5,8.7,73.2,2.1,7.8,33.5,0.9,12.3,142166,7.8
Nevada,California,3,6.2,92.2,0.5,1.3,9.1,1.1,1.7,99107,6.2
Orange,California,57,9.4,63,1.6,19.2,34.2,0.4,11.6,3172532,6.7
Placer,California,7,6.8,83.2,1.5,6.7,13.5,0.5,3.1,380531,8.4
Plumas,California,7,13.9,89.6,0.1,0.9,8.4,2.2,1.8,18627,7.2
Riverside,California,43,14.1,63.3,6.2,6.2,47.5,0.9,18.8,2387741,10.2
Sacramento,California,14,8.8,59.2,9.9,15.2,22.5,0.8,7.1,1514460,9.6
San Benito,California,1,4.7,83.8,0.8,2.6,58.3,0.8,7,59414,5.3
San Bernardino,California,50,14.8,62,8.6,6.8,51.7,0.8,16.9,2140096,10.6
San Diego,California,40,8.7,71,5,11.6,33.1,0.7,6.4,3317749,7.1
San Francisco,California,7,7.8,48.1,5.4,33.9,15.3,0.3,7,870887,7.7
San Joaquin,California,13,11.8,56.4,7,14.9,40.5,0.6,11.6,733709,7.5
San Luis Obispo,California,8,8.4,85.5,2,3.7,21.9,0.7,4.7,282887,5.9
San Mateo,California,8,8.5,53.6,2.5,27,25.1,0.3,10.2,764797,11.4
Santa Barbara,California,10,7.1,74.1,2,5.3,44.4,0.9,13.2,446170,6.2
Santa Clara,California,19,9.1,46.9,2.5,34.4,26.3,0.5,10.6,1919402,6
Santa Cruz,California,5,5.6,79.3,0.9,4.5,33.1,0.6,10.1,274673,11.3
Shasta,California,13,5.2,87,1,2.9,9.3,2.4,2.1,179631,7.3
Sierra,California,5,9,95.8,0.1,0,10.4,1.1,0.5,2947,7.2
Siskiyou,California,5,4.9,85.5,1.6,1.6,11.7,3.4,1.5,43603,7.2
Solano,California,2,7.5,52.9,14.1,15.2,25.4,0.5,9,440207,13.3
Sonoma,California,12,4.9,76.1,1.6,3.9,26,1.1,12.1,503070,8.1
Stanislaus,California,6,12.7,74.6,2.7,5.4,44.3,0.7,11.5,541560,13.4
Sutter,California,1,8.1,71,2,15,29.9,0.9,4.6,96651,8.1
Tehama,California,5,6.4,86.5,0.6,1.4,23.7,2.8,4.7,63276,7.3
Trinity,California,9,5.9,86.3,1.1,1.6,7.2,4.3,3,12782,7.2
Tulare,California,13,14.7,79.7,1.6,3.5,63,1.3,10.5,460437,8.6
Tuolumne,California,3,10.4,88.4,1.9,1.3,11.6,1.6,2.4,53804,9.3
Ventura,California,9,9.6,79.4,1.8,7.1,41.9,0.7,6.5,849738,6.7
Yolo,California,4,6.4,67.1,2.5,13.9,31.2,0.7,9.8,215802,6.6
Yuba,California,4,7.2,72,3.1,6.9,26.9,1.4,8.2,75275,14.8
Albany,New York,15,6.6,76.6,12.5,6.1,5.6,0.2,1.3,307891,13.3
Allegany,New York,10,7,95.6,1.5,1.2,1.6,0.3,0.4,47700,9.7
Bronx,New York,6,6.6,20.6,33.2,3.7,55.4,0.6,38.4,1436785,8.9
Broome,New York,7,5.6,86.4,5.6,4.1,3.9,0.2,1,197381,12.2
Cattaraugus,New York,10,7.6,92.1,1.6,0.8,1.9,2.9,0.5,78506,14
Cayuga,New York,6,5.5,92.1,4.3,0.5,2.7,0.4,0.7,78783,8.5
Chautauqua,New York,17,7.6,92.8,2.6,0.6,7,0.4,1.6,131748,11.2
Chemung,New York,6,5.9,88.3,5.9,1.6,2.9,0.4,0.4,87742,16.8
Chenango,New York,4,5.4,96.3,0.9,0.5,2.1,0.3,0.5,49286,11.7
Clinton,New York,14,5.1,91.3,4.3,1.3,2.7,0.2,1.4,81505,12.3
Columbia,New York,10,6.6,89.5,4.4,1.9,4.3,0,1.1,61860,11.4
Cortland,New York,5,5.5,94.2,1.6,0.9,2.6,0.1,1,48713,10.3
Delaware,New York,10,5.7,95,1.9,0.7,3.6,0.1,0.7,46480,8
Dutchess,New York,18,6.1,78.8,10.4,3.8,11.5,0.4,3.4,295905,10.6
Erie,New York,8,7.6,78.4,13.4,3.3,5.1,0.5,2.2,922129,12.2
Essex,New York,17,7.2,93.1,3.1,0.5,3.1,0.3,1.2,38598,13.3
Franklin,New York,5,6.1,83,5.6,0.5,3.3,6.9,2,51007,13.8
Fulton,New York,9,6.4,94.9,1.6,0.7,2.7,0.3,0.9,54297,13.9
Genesee,New York,8,7.8,92.4,2.5,0.7,3,1.1,1.3,59053,11.2
Greene,New York,5,6.6,89.6,6.7,1,5.4,0.3,0.8,48069,12
Hamilton,New York,8,6.6,96.5,0.6,0.1,1.4,0.1,0.3,4697,12.4
Herkimer,New York,3,6.1,96.1,1.1,0.5,2,0.2,0.4,63558,13.6
Jefferson,New York,24,6.1,86.4,5.8,1.4,7.1,0.5,1.5,117966,13.6
Kings,New York,9,8.1,43.3,33.4,11.7,19.4,0.3,8.7,2606852,9.3
Lewis,New York,6,5.7,96.8,0.8,0.5,1.6,0.2,0.6,27107,7.2
Livingston,New York,9,6.6,93.3,2.5,1.4,3.3,0.2,0.8,64622,14.5
Madison,New York,4,5.4,94.9,2.1,0.9,2,0.6,0.2,72089,10.5
Monroe,New York,10,7.4,76,15.3,3.6,8.1,0.4,1.9,749236,11
Montgomery,New York,4,6,88.2,2.1,0.7,12.6,0.1,6.2,49667,15.6
Nassau,New York,26,6.2,69.7,11.5,8.7,16.1,0.2,6.5,1356801,5.9
New York,New York,1,10.3,56.8,15,11.8,25.9,0.4,11.8,1634989,8.8
Niagara,New York,7,8.2,87.9,7.1,1.1,2.6,1,0.6,213374,10.3
Oneida,New York,17,5.4,86,6.1,3.8,5.2,0.2,1.5,232858,11.1
Onondaga,New York,11,5.5,80.1,11.1,3.7,4.6,0.6,1.1,468050,11.5
Ontario,New York,16,6.6,93.2,2.5,1.2,4.2,0.4,1,109450,10.7
Orange,New York,8,5.2,74.8,10.3,2.7,19.4,0.4,8.4,376242,9
Orleans,New York,0,7.8,89.8,6.3,0.7,4.6,0.4,1.1,41938,8.8
Oswego,New York,7,5.5,95.6,1,0.7,2.4,0.2,0.8,120513,8.6
Otsego,New York,15,5.4,94,1.8,1.2,3.5,0.3,0.8,60979,9.6
Putnam,New York,5,5.6,89.5,2.4,2.2,13.1,0.8,3,99408,13.2
Queens,New York,8,6.4,40.5,18.3,24.8,28,0.4,12.5,2310011,7.8
Rensselaer,New York,11,6.6,86.9,6.2,2.5,4.5,0.1,0.8,159959,11.7
Richmond,New York,1,7.4,75.1,10.3,8,18,0.2,3.9,473324,9
Rockland,New York,7,5.6,70.8,12.6,6.1,17,0.2,7.9,322642,4.6
Saratoga,New York,14,6.8,93.1,2.4,1.1,2.2,0.8,0.7,111529,15.4
Schenectady,New York,3,6.6,93.6,1.6,2.7,2.9,0.2,0.4,224929,11.2
Schoharie,New York,2,6.6,78,10,4.5,6.6,0.2,3.5,154845,8.8
Schuyler,New York,8,6,95.8,1.5,0.8,3,0.1,0.4,31667,10
Seneca,New York,3,6,96.7,1.1,0.5,1.7,0.3,0.1,18336,10.5
St. Lawrence,New York,13,6.1,91.6,4.8,0.7,3.2,0.4,0.4,35036,15.5
Steuben,New York,7,5.8,95,1.5,1.5,1.6,0.1,0.3,98151,8.4
Suffolk,New York,59,5.9,80.9,7.6,3.8,18.2,0.2,4.9,1498130,11.6
Sullivan,New York,10,5.7,81.8,8.6,1.6,15,0.2,3.8,75818,12.3
Tioga,New York,5,5.7,96.9,0.7,0.7,1.7,0,0.2,49649,10.3
Tompkins,New York,7,5.7,80.7,4,10.2,4.7,0.3,1.1,104268,12.9
Ulster,New York,20,6.1,86.3,5.9,1.9,9.6,0.2,1.9,180505,5.7
Warren,New York,12,6.9,96.1,1.2,0.9,2.2,0.3,0.3,64911,11.6
Washington,New York,6,7.2,94,3.3,0.5,2.5,0.3,0.6,62465,8.2
Wayne,New York,12,6.1,93.2,3.1,0.7,4.1,0.2,0.9,91874,11.2
Westchester,New York,29,5.9,66.1,14.4,5.7,23.6,0.4,10.3,969229,9.6
Wyoming,New York,4,7.6,91.6,5.5,0.3,3.2,0.4,0.9,41239,8.9
Yates,New York,5,6.2,96.7,0.8,0.9,2.1,0.1,0.4,25106,5.8
Altantic,New Jersey,0,6.1,71.3,17.1,8.1,19.4,0.7,2.8,266105,12
Bergen,New Jersey,0,9.3,72.9,7.4,17,21,0.1,2.7,930390,8.6
Burlington,New Jersey,4,7.1,72.9,18.3,5.4,8.5,0.3,3.1,445702,11.6
Camden,New Jersey,2,8.8,69,21.6,6,17.6,0.7,2.7,506738,15.7
Cape May,New Jersey,0,7.4,91.8,4.8,1,8.1,0.4,2,93086,11.9
Cumberland,New Jersey,0,8.7,72,21.9,1.4,31.8,1.6,3.3,151906,12
Essex,New Jersey,0,8.2,48.9,41.9,59,23.8,0.8,2.5,795404,13.3
Gloucester,New Jersey,0,7,83,11.2,3.1,6.7,0.3,2.4,291165,13.8
Hudson,New Jersey,0,8.1,64.7,14.8,16.4,42.7,1.1,2.9,670046,13.1
Hunterdon,New Jersey,2,7.9,91,2.7,4.4,7,0.2,1.7,124823,9.6
Mercer,New Jersey,2,7.5,63.3,21.5,11.9,18.5,0.6,2.7,367922,11.3
Middlesex,New Jersey,8,7.4,60.1,12,24.9,22.1,0.7,2.4,825920,12.2
Monmouth,New Jersey,0,7.1,84.8,7.5,5.6,11.1,0.3,1.9,621659,10.2
Morris,New Jersey,2,5.9,83.1,3.8,10.8,13.9,0.3,1.9,493379,13.9
Ocean,New Jersey,0,6.3,92.7,3.6,1.9,9.5,0.3,1.4,596415,14.3
Passaic,New Jersey,0,7.6,74.9,14.9,5.7,42.9,1.5,3,503637,12.6
Salem,New Jersey,0,7.9,81.1,14.8,1.1,9.8,0.6,2.4,62990,10.6
Somerset,New Jersey,1,7.6,68.1,10.5,18.8,15.2,0.4,2.2,329838,10.9
Sussex,New Jersey,2,7.1,93.3,2.7,2,9.2,0.3,1.7,141483,10.1
Union,New Jersey,2,9.1,67.4,23.8,5.7,32.8,0.8,2.3,554033,12.8
Warren,New Jersey,1,7.7,89.2,5.7,2.9,10.2,0.4,1.8,105862,11.8
Adams,North Dakota,1,4,93.7,0.9,2.8,1.6,0.7,1.8,2216,13.6
Barnes,North Dakota,1,5.3,94.2,1.8,0.9,2.2,1.1,1.9,10415,8.6
Benson,North Dakota,1,5.1,41.6,0.5,0.2,4.1,55.6,2.1,6832,13.5
Billings,North Dakota,0,2.9,94,0.4,4.1,2.6,0.6,0.8,928,4.5
Bottineau,North Dakota,2,5,92.9,0.8,0.6,2.2,3.3,2.4,6282,13.6
Bowman,North Dakota,2,4.1,95.9,0.3,0.2,5.5,2.5,1.1,3024,11.8
Burke,North Dakota,0,1.5,95.3,0.8,0.6,3,1.6,1.8,2115,10.6
Burleigh,North Dakota,3,4.9,90.4,2.4,0.9,2.8,4.3,2,95626,11.8
Cass,North Dakota,8,5.1,86.7,6.4,3.4,2.8,1.5,2.2,181923,11.3
Cavalier,North Dakota,2,5.3,95.8,0.4,0.4,1.4,1.9,1.5,3762,9.4
Dickey,North Dakota,4,5.3,95.7,1,0.6,3.4,0.9,1.8,4872,8
Divide,North Dakota,2,4.3,93.4,1.9,1.9,2.9,0.8,2,2264,12.7
Dunn,North Dakota,1,4.4,84.2,1.7,1.4,5.6,9.8,2.9,4424,14.4
Eddy,North Dakota,1,4.8,92.6,0.5,0.3,4.3,4.6,2,2287,12
Emmons,North Dakota,0,4.5,96.4,0.3,0.9,1.1,1.2,1.3,3241,11.1
Foster,North Dakota,0,4.8,96.6,0.4,0.6,2.3,1.5,0.9,3210,16.9
Golden Valley,North Dakota,3,3.7,96.1,0.7,0.2,3.4,1.6,1.4,1761,9.9
Grand Forks,North Dakota,5,6.2,86.8,4.4,2.9,4.7,2.9,3,69451,12.6
Grant,North Dakota,0,4,95.6,0.1,0.3,1.5,2.1,2,2274,10.2
